id,created_at,text,location_name,country,place_type,username,name,user_location,retweet_count,favorite_count,lang
429488933169147904,Sat Feb 01 05:38:35 +0000 2014,@Vote4AAP @AamAadmiParty @MSisodia&gt;RSS etc's Bigotry-Irrationality-Misogyny a Way o Life-80% Ppl w/ NO Civic SENSE-Police Partners of Crime&gt;,,,,SunjayJK,Sunjay JK,"Delhi NCR, India + California ",,,en
429488616197193730,Sat Feb 01 05:37:20 +0000 2014,@pataz1 Her DNA was not found mixed all over the crime scene. Also Perugia's police allowed crime scene to be traipsed over multiple times.,,,,HKateE,Heather Erickson,"Denver, CO",,,en
429488467572056064,Sat Feb 01 05:36:44 +0000 2014,RT @ABCNews24_: Now: Greens Hansen Young says closure of Mt Thomas police station reckless and will increase crime from Ramsay Street to Su…,,,,J0HNMcTERNAN,Comrade John,,43.0,,en
429488175862808576,Sat Feb 01 05:35:35 +0000 2014,2/2 Police will assist with injured animals when they are on a highway or where a crime is suspected,,,,HertsPolRural,Herts Police Rural,"Hertfordshire, England, UK",,,en
429488126608678912,Sat Feb 01 05:35:23 +0000 2014,@NoMoreDemocracy there's crime in it but no police or anything like that.,,,,CarlDamnGrimes,The Real Slim Shady,On the road with Rick,,,en
429487461878992897,Sat Feb 01 05:32:45 +0000 2014,"RT @SinghRPN: .@AngellicAribam Yes,hv spoken to Delhi police for full and speedy probe,it is the most dastardly crime.shames all of us as I…",,,,YoungCongressi,YoungCongressi,somewhere in INDIA or BHARAT,8.0,,en
429487155757330432,Sat Feb 01 05:31:32 +0000 2014,Heroin sold in McDonald's Happy Meals: Police http://t.co/4ZLnMPX3rc @bskousen we could of been rich!,,,,_duderz,carlin skousen,,,2.0,en
429487042423033856,Sat Feb 01 05:31:05 +0000 2014,Man sentenced for fraud: FLORENCE — A man who police said took advantage of a good Samaritan has been sentence... http://t.co/ZySyaI2YFh,,,,TimesDaily,TimesDaily Newspaper,"The Shoals, Alabama",,,en
429486947955146752,Sat Feb 01 05:30:42 +0000 2014,#police #judgment #crime #court http://t.co/yXXZSpnmGO notes 6 #Laws You've Broken Without Even Realizing It http://t.co/cfuzHBt8kN,,,,ModernWorldHub,ModernWorld Hub,UK,,,en
429486365659906048,Sat Feb 01 05:28:23 +0000 2014,"RT @SinghRPN: .@AngellicAribam Yes,hv spoken to Delhi police for full and speedy probe,it is the most dastardly crime.shames all of us as I…",,,,gopalarvind94,Arvindgopal,,8.0,,en
429485718771990528,Sat Feb 01 05:25:49 +0000 2014,RT @DemandAction: #NRAadvice: Don’t cooperate with police if your gun shows up at a crime scene: http://t.co/c96U10ed1l,,,,j03_2,j03,Los Angeles Digital Journo,18.0,,en
429485563507654656,Sat Feb 01 05:25:12 +0000 2014,"RT @SinghRPN: .@AngellicAribam Yes,hv spoken to Delhi police for full and speedy probe,it is the most dastardly crime.shames all of us as I…",,,,Pranay_18,Pranay Khatiwara,New Delhi / Sikkim,8.0,,en
429485059242856448,Sat Feb 01 05:23:12 +0000 2014,Baby Boy Death:  3 Arrested Over Murder http://t.co/rVZCBbtAEi #News #Crime #Police #PoliceAppeal,,,,Moondamp_Roses,Moondamp_Roses,United Kingdom,,,en
429484915839991808,Sat Feb 01 05:22:38 +0000 2014,"RT @AbusedChildren: Richland: Police: Convicted child rapist living in Richland | Crime, fires &amp; court news |... http://t.co/7qfXmTza0l",,,,MissingDivision,MissingDivision,Worldwide ,4.0,,en
429484743227625472,Sat Feb 01 05:21:56 +0000 2014,"RT @AsperCat: French police arrest the man who tortured a cat and recorded it for Facebook: 
The Frenchman who was captured... http://t.co/…",,,,FelicityGamelin,Felicity Gamelin,,1.0,,en
429484226082525184,Sat Feb 01 05:19:53 +0000 2014,"RT @AbusedChildren: Richland: Police: Convicted child rapist living in Richland | Crime, fires &amp; court news |... http://t.co/7qfXmTza0l",,,,DFAC_DTR,Dreamcatchers Radio,Michigan - Worldwide,4.0,,en
429484187171971072,Sat Feb 01 05:19:44 +0000 2014,"RT @BaltoSpectator: I uploaded a new track, ""Lying Bastards Of Baltimore Police"", on @spreaker #baltimore #crime #fascism http://t.co/A8hyR…",,,,BmoreBloc,kimⒶthi,Here But I'm Gone,1.0,,en
429483997932949504,Sat Feb 01 05:18:59 +0000 2014,RT @blackmagicgal1: So AAP will continue to cry foul at Delhi police whenever a crime is reported rather than take responsibility like a go…,,,,YashveerRaghav,Yasshveer Raghav,Gurgaon,7.0,,en
429483743066091521,Sat Feb 01 05:17:58 +0000 2014,RT @bradybuzz: BREAKING NEWS: Judge’s ruling favors officers in Badger Guns suit: http://t.co/QcQP0vLtd4,,,,skippybkroo,skippy the bkroo,,15.0,,en
429483488165654528,Sat Feb 01 05:16:57 +0000 2014,"Driver blows over legal limit http://t.co/PvczzPY7EB
 #crime #Police #WestPerth",,,,OntNewsToday,Ontario News Today,Ontario,,,en
429482862300397568,Sat Feb 01 05:14:28 +0000 2014,RT @bradybuzz: BREAKING NEWS: Judge’s ruling favors officers in Badger Guns suit: http://t.co/QcQP0vLtd4,,,,Rosebud1668,Rosebud,"Windber, PA",15.0,,en
429482630036205568,Sat Feb 01 05:13:33 +0000 2014,RT @flintjournal: Police news: Billboards tout anonymity of new Crime Stoppers hotline; Hamady janitor accused of sexual relatio... http://…,,,,CoolNikk,Nichole,Anywhere USA,2.0,,en
429482200552067073,Sat Feb 01 05:11:50 +0000 2014,"RT @girlweena: Just heard a police detective say ""interwishin'"" instead of ""intuition"" and am now considering a life of crime.",,,,EEEEzz,EZ ,"San Jose, Ca",2.0,,en
429482178645606400,Sat Feb 01 05:11:45 +0000 2014,Wyoming Highway Patrol mourns loss of K-9 unit - Casper Star-Tribune Online http://t.co/w4Iagyh5sx #PoliceNews,,,,Police_Dispatch,Emergency Traffic,United States,,,en
